month,sessions,orders,gross_revenue,gross_profit,refund_amount,refunded_items,net_revenue,conversion_rate,aov,refund_pct_revenue
2012-04-01,3734.0,99.0,4949.01,3019.5000000000005,249.95000000000002,5.0,4699.06,2.6513122656668453,49.99,5.05050505050505
2012-05-01,3736.0,108.0,5398.92,3294.0000000000005,249.95000000000002,5.0,5148.97,2.890792291220557,49.99,4.62962962962963
2012-06-01,3963.0,140.0,6998.6,4270.000000000001,249.95000000000002,5.0,6748.650000000001,3.532677264698461,49.99,3.571428571428571
2012-07-01,4249.0,169.0,8448.31,5154.500000000001,649.87,13.0,7798.44,3.977406448576135,49.989999999999995,7.6923076923076925
2012-08-01,6097.0,228.0,11397.720000000001,6954.000000000001,899.82,18.0,10497.900000000001,3.739544038051501,49.99,7.894736842105263
2012-09-01,6546.0,287.0,14347.130000000001,8753.500000000002,1049.79,21.0,13297.34,4.384356859150626,49.99,7.317073170731707
2012-10-01,8183.0,371.0,18546.29,11315.500000000002,1199.76,24.0,17346.530000000002,4.533789563729684,49.99,6.469002695417789
2012-11-01,14011.0,618.0,30893.82,18849.000000000004,1999.6000000000001,40.0,28894.22,4.410820069945044,49.99,6.4724919093851145
2012-12-01,10072.0,506.0,25294.940000000002,15433.000000000002,1899.6200000000001,38.0,23395.320000000003,5.023828435266084,49.99,7.5098814229249005
2013-01-01,6401.0,390.0,19966.100000000002,12224.000000000002,1059.79,21.0,18906.31,6.092798000312452,51.19512820512821,5.307946970114343
2013-02-01,7168.0,498.0,26515.02,16323.000000000002,1169.77,23.0,25345.25,6.947544642857142,53.243012048192774,4.4117258821603755
2013-03-01,6264.0,385.0,19896.15,12197.500000000002,1069.79,21.0,18826.36,6.146232439335888,51.678311688311695,5.3768693943300585
2013-04-01,7971.0,553.0,28584.47,17524.5,1159.77,23.0,27424.7,6.937648977543595,51.6898191681736,4.057343025775884
2013-05-01,8449.0,571.0,29364.29,17989.5,1579.69,31.0,27784.600000000002,6.758196236240975,51.42607705779335,5.379629475120972
2013-06-01,8325.0,593.0,30544.07,18716.5,1749.66,34.0,28794.41,7.123123123123124,51.5077065767285,5.728313220864148
2013-07-01,8903.0,604.0,31143.960000000003,19087.0,2269.55,45.0,28874.410000000003,6.784230034819724,51.56284768211921,7.287287807973039
2013-08-01,9180.0,608.0,31373.920000000002,19230.0,1769.65,35.0,29604.27,6.623093681917211,51.60184210526316,5.640512884586943
2013-09-01,9580.0,629.0,32723.65,20053.500000000004,1199.76,24.0,31523.890000000003,6.565762004175365,52.02488076311606,3.666339176711644
2013-10-01,10773.0,708.0,38242.62,23454.000000000004,969.8100000000001,19.0,37272.810000000005,6.57198551935394,54.015,2.5359402676908642
2013-11-01,14032.0,861.0,46631.020000000004,28607.000000000004,929.82,18.0,45701.200000000004,6.135974914481186,54.15914053426249,1.9939945555555079
2013-12-01,15735.0,1047.0,58262.600000000006,36190.0,2275.55,45.0,55987.05,6.65395614871306,55.64718242597899,3.905678771630514
2014-01-01,14825.0,982.0,56568.89,35366.5,1797.64,36.0,54771.25,6.623946037099494,57.60579429735234,3.177789063918348
2014-02-01,16285.0,1021.0,66012.52,41762.0,2423.51,49.0,63589.01,6.269573226895917,64.65476983349657,3.671288416197412
2014-03-01,15669.0,1066.0,68189.73,43068.5,2183.55,45.0,66006.18,6.803242070329951,63.96785178236397,3.2021684203765
2014-04-01,17353.0,1241.0,78725.43000000001,49713.5,2707.4500000000003,55.0,76017.98000000001,7.151501181351929,63.43709105560033,3.4391047467127205
2014-05-01,18061.0,1368.0,88935.27,56167.5,2405.4900000000002,51.0,86529.78,7.574331432368087,65.01116228070175,2.7047649374651925
2014-06-01,17715.0,1239.0,80051.25,50600.5,3377.31,69.0,76673.94,6.994072819644368,64.60956416464892,4.2189347449290295
2014-07-01,19038.0,1286.0,83288.55,52566.5,3837.2200000000003,78.0,79451.33,6.754911230171236,64.76559097978227,4.6071398769698835
2014-08-01,18590.0,1325.0,84716.08,53579.0,4605.070000000001,93.0,80111.01,7.127487896718667,63.9366641509434,5.435886551880116
2014-09-01,19513.0,1424.0,92232.49,58309.5,11773.630000000001,237.0,80458.86,7.297698969917491,64.77000702247192,12.765165507295748
2014-10-01,21526.0,1609.0,103905.98000000001,65747.0,2833.4,60.0,101072.58000000002,7.474681780172815,64.57798632691113,2.7268882888164856
2014-11-01,25125.0,1985.0,128162.98000000001,80985.0,3099.35,65.0,125063.63,7.900497512437811,64.56573299748112,2.4182880266985047
2014-12-01,29722.0,2314.0,144823.02000000002,91857.0,5908.78,122.0,138914.24000000002,7.785478769934729,62.58557476231634,4.080000541350401
2015-01-01,25337.0,2098.0,132211.54,83911.0,4861.0,100.0,127350.54000000001,8.280380471247582,63.0178932316492,3.676683593580409
2015-02-01,23778.0,2068.0,129212.94,82006.0,3871.21,79.0,125341.73,8.69711498023383,62.48207930367505,2.9959925066328497
