week,sessions,orders,gross_revenue,gross_profit,refund_amount,refunded_items,net_revenue,conversion_rate,aov,refund_pct_revenue
2012-03-25,969.0,29.0,1449.71,884.5000000000001,0.0,0.0,1449.71,2.9927760577915374,49.99,0.0
2012-04-01,1007.0,35.0,1749.65,1067.5000000000002,0.0,0.0,1749.65,3.475670307845084,49.99,0.0
2012-04-08,1180.0,30.0,1499.7,915.0000000000001,49.99,1.0,1449.71,2.5423728813559325,49.99,3.3333333333333335
2012-04-15,1009.0,27.0,1349.73,823.5000000000001,99.98,2.0,1249.75,2.6759167492566895,49.99,7.4074074074074066
2012-04-22,673.0,21.0,1049.79,640.5000000000001,99.98,2.0,949.81,3.1203566121842496,49.989999999999995,9.523809523809526
2012-04-29,649.0,16.0,799.84,488.00000000000006,0.0,0.0,799.84,2.465331278890601,49.99,0.0
2012-05-06,776.0,18.0,899.82,549.0000000000001,49.99,1.0,849.83,2.3195876288659796,49.99,5.555555555555555
2012-05-13,796.0,20.0,999.8000000000001,610.0000000000001,49.99,1.0,949.8100000000001,2.512562814070352,49.99,5.0
2012-05-20,740.0,25.0,1249.75,762.5000000000001,49.99,1.0,1199.76,3.3783783783783785,49.99,4.0
2012-05-27,946.0,25.0,1249.75,762.5000000000001,49.99,1.0,1199.76,2.6427061310782243,49.99,4.0
2012-06-03,869.0,33.0,1649.67,1006.5000000000001,49.99,1.0,1599.68,3.79746835443038,49.99,3.0303030303030303
2012-06-10,922.0,33.0,1649.67,1006.5000000000001,99.98,2.0,1549.69,3.5791757049891544,49.99,6.0606060606060606
2012-06-17,1004.0,30.0,1499.7,915.0000000000001,0.0,0.0,1499.7,2.9880478087649402,49.99,0.0
2012-06-24,947.0,35.0,1749.65,1067.5000000000002,49.99,1.0,1699.66,3.695881731784583,49.99,2.857142857142857
2012-07-01,908.0,31.0,1549.69,945.5000000000001,99.98,2.0,1449.71,3.4140969162995596,49.99,6.451612903225806
2012-07-08,889.0,31.0,1549.69,945.5000000000001,199.96,4.0,1349.73,3.487064116985377,49.99,12.903225806451612
2012-07-15,935.0,40.0,1999.6000000000001,1220.0000000000002,99.98,2.0,1899.6200000000001,4.27807486631016,49.99,5.0
2012-07-22,963.0,44.0,2199.56,1342.0000000000002,199.96,4.0,1999.6,4.569055036344756,49.99,9.090909090909092
2012-07-29,963.0,42.0,2099.58,1281.0000000000002,99.98,2.0,1999.6,4.361370716510903,49.989999999999995,4.761904761904763
2012-08-05,1188.0,54.0,2699.46,1647.0000000000002,99.98,2.0,2599.48,4.545454545454546,49.99,3.7037037037037033
2012-08-12,1237.0,49.0,2449.51,1494.5000000000002,249.95000000000002,5.0,2199.5600000000004,3.9611964430072755,49.99,10.204081632653061
2012-08-19,1204.0,38.0,1899.6200000000001,1159.0000000000002,249.95000000000002,5.0,1649.67,3.1561461794019934,49.99,13.157894736842104
2012-08-26,1539.0,57.0,2849.4300000000003,1738.5000000000002,149.97,3.0,2699.4600000000005,3.7037037037037033,49.99,5.263157894736842
2012-09-02,1565.0,48.0,2399.52,1464.0000000000002,249.95000000000002,5.0,2149.57,3.0670926517571884,49.99,10.416666666666668
2012-09-09,1446.0,59.0,2949.4100000000003,1799.5000000000002,99.98,2.0,2849.4300000000003,4.080221300138312,49.99,3.389830508474576
2012-09-16,1485.0,72.0,3599.28,2196.0000000000005,349.93,7.0,3249.3500000000004,4.848484848484849,49.99,9.722222222222223
2012-09-23,1799.0,79.0,3949.21,2409.5000000000005,149.97,3.0,3799.2400000000002,4.391328515842134,49.99,3.79746835443038
2012-09-30,1596.0,70.0,3499.3,2135.0000000000005,399.92,8.0,3099.38,4.385964912280701,49.99,11.428571428571429
2012-10-07,1539.0,63.0,3149.3700000000003,1921.5000000000002,349.93,7.0,2799.4400000000005,4.093567251461988,49.99,11.11111111111111
2012-10-14,1679.0,76.0,3799.2400000000002,2318.0000000000005,299.94,6.0,3499.3,4.526503871351995,49.99,7.894736842105263
2012-10-21,1943.0,96.0,4799.04,2928.0000000000005,199.96,4.0,4599.08,4.940813175501802,49.99,4.166666666666667
2012-10-28,2053.0,92.0,4599.08,2806.0000000000005,299.94,6.0,4299.14,4.481246955674623,49.99,6.521739130434782
2012-11-04,1919.0,86.0,4299.14,2623.0000000000005,349.93,7.0,3949.2100000000005,4.481500781657114,49.99,8.139534883720929
