StockCode,Description,Month,Quantity,Revenue,Transactions,Customers,Avg_Price,Min_Price,Max_Price,Revenue_Per_Unit
10002,INFLATABLE POLITICAL GLOBE ,2009-12,213,181.04999999999998,18,16,0.85,0.85,0.85,0.8499999999999999
10002,INFLATABLE POLITICAL GLOBE ,2010-01,289,245.65,15,15,0.85,0.85,0.85,0.85
10002,INFLATABLE POLITICAL GLOBE ,2010-02,255,216.75,13,12,0.8499999999999999,0.85,0.85,0.85
10002,INFLATABLE POLITICAL GLOBE ,2010-03,634,480.65999999999997,17,15,0.8194117647058823,0.72,0.85,0.7581388012618296
10002,INFLATABLE POLITICAL GLOBE ,2010-04,1129,838.75,21,20,0.819047619047619,0.72,0.85,0.7429140832595217
10002,INFLATABLE POLITICAL GLOBE ,2010-05,1409,1064.53,29,25,0.8320689655172413,0.72,0.85,0.7555216465578424
10002,INFLATABLE POLITICAL GLOBE ,2010-06,442,372.58,29,29,0.8455172413793103,0.72,0.85,0.8429411764705882
10002,INFLATABLE POLITICAL GLOBE ,2010-07,503,401.55,22,21,0.8440909090909091,0.72,0.85,0.7983101391650099
10002,INFLATABLE POLITICAL GLOBE ,2010-08,581,441.84999999999997,18,18,0.8355555555555555,0.72,0.85,0.760499139414802
10002,INFLATABLE POLITICAL GLOBE ,2010-09,217,184.45,18,16,0.85,0.85,0.85,0.85
10002,INFLATABLE POLITICAL GLOBE ,2010-10,1034,774.9,23,21,0.838695652173913,0.72,0.85,0.7494197292069632
10002,INFLATABLE POLITICAL GLOBE ,2010-11,955,740.25,35,33,0.8425714285714285,0.72,0.85,0.775130890052356
10002,INFLATABLE POLITICAL GLOBE ,2010-12,364,309.4,26,15,0.8499999999999999,0.85,0.85,0.85
10002,INFLATABLE POLITICAL GLOBE ,2011-01,337,286.45,18,18,0.85,0.85,0.85,0.85
10002,INFLATABLE POLITICAL GLOBE ,2011-02,50,42.5,5,5,0.85,0.85,0.85,0.85
10002,INFLATABLE POLITICAL GLOBE ,2011-03,23,19.549999999999997,5,5,0.85,0.85,0.85,0.8499999999999999
10002,INFLATABLE POLITICAL GLOBE ,2011-04,189,160.65,5,5,0.85,0.85,0.85,0.85
10080,GROOVY CACTUS INFLATABLE,2009-12,4,3.4,3,2,0.85,0.85,0.85,0.85
10080,GROOVY CACTUS INFLATABLE,2010-07,1,0.85,1,1,0.85,0.85,0.85,0.85
10080,GROOVY CACTUS INFLATABLE,2010-09,6,5.1,1,1,0.85,0.85,0.85,0.85
10080,GROOVY CACTUS INFLATABLE,2010-11,1,0.85,1,1,0.85,0.85,0.85,0.85
10080,GROOVY CACTUS INFLATABLE,2011-02,2,1.7,1,1,0.85,0.85,0.85,0.85
10080,GROOVY CACTUS INFLATABLE,2011-06,48,18.72,1,1,0.39,0.39,0.39,0.38999999999999996
10080,GROOVY CACTUS INFLATABLE,2011-07,24,9.36,2,2,0.39,0.39,0.39,0.38999999999999996
10080,GROOVY CACTUS INFLATABLE,2011-08,60,23.4,4,4,0.39,0.39,0.39,0.38999999999999996
10080,GROOVY CACTUS INFLATABLE,2011-09,60,23.4,4,4,0.39,0.39,0.39,0.38999999999999996
10080,GROOVY CACTUS INFLATABLE,2011-10,6,2.34,3,3,0.38999999999999996,0.39,0.39,0.38999999999999996
10080,GROOVY CACTUS INFLATABLE,2011-11,91,35.489999999999995,6,6,0.38999999999999996,0.39,0.39,0.38999999999999996
10109,BENDY COLOUR PENCILS,2009-12,4,1.68,1,1,0.42,0.42,0.42,0.42
10120,DOGGY RUBBER,2009-12,106,22.26,5,5,0.21000000000000002,0.21,0.21,0.21000000000000002
10120,DOGGY RUBBER,2010-01,30,6.3,1,1,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2010-03,68,14.28,4,4,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2010-04,60,12.6,2,2,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2010-05,4,0.84,1,1,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2010-06,30,6.3,1,1,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2010-07,3,0.63,1,1,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2010-09,9,1.8900000000000001,2,2,0.21,0.21,0.21,0.21000000000000002
10120,DOGGY RUBBER,2010-10,71,14.91,4,4,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2010-11,75,15.75,12,12,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2010-12,31,6.51,7,4,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2011-02,30,6.3,1,1,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2011-03,29,6.09,5,4,0.21000000000000002,0.21,0.21,0.21
10120,DOGGY RUBBER,2011-05,3,0.63,2,2,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2011-07,5,1.05,1,1,0.21,0.21,0.21,0.21000000000000002
10120,DOGGY RUBBER,2011-08,35,7.35,2,2,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2011-09,10,2.1,4,4,0.21,0.21,0.21,0.21000000000000002
10120,DOGGY RUBBER,2011-10,10,2.1,2,2,0.21,0.21,0.21,0.21000000000000002
10120,DOGGY RUBBER,2011-11,49,10.29,8,8,0.21,0.21,0.21,0.21
10120,DOGGY RUBBER,2011-12,6,1.26,1,1,0.21,0.21,0.21,0.21
10123C,HEARTS WRAPPING TAPE ,2009-12,138,78.18,11,9,0.6390909090909092,0.53,0.65,0.5665217391304348
10123C,HEARTS WRAPPING TAPE ,2010-01,25,16.25,3,3,0.65,0.65,0.65,0.65
10123C,HEARTS WRAPPING TAPE ,2010-02,13,8.450000000000001,2,2,0.65,0.65,0.65,0.6500000000000001
10123C,HEARTS WRAPPING TAPE ,2010-03,14,9.1,2,2,0.65,0.65,0.65,0.65
10123C,HEARTS WRAPPING TAPE ,2010-04,14,9.100000000000001,2,2,0.65,0.65,0.65,0.6500000000000001
10123C,HEARTS WRAPPING TAPE ,2010-05,49,31.85,4,4,0.65,0.65,0.65,0.65
10123C,HEARTS WRAPPING TAPE ,2010-06,1,0.65,1,1,0.65,0.65,0.65,0.65
10123C,HEARTS WRAPPING TAPE ,2010-07,2,1.3,2,2,0.65,0.65,0.65,0.65
10123C,HEARTS WRAPPING TAPE ,2010-08,163,20.990000000000002,4,4,0.5025000000000001,0.06,0.65,0.12877300613496934
